,actual,predicted
44780,32900,52098.04
472,12500,16847.105
43688,65000,36439.39
37786,69900,82749.06
27407,57000,42006.453
37382,20900,19682.143
16271,52590,66359.734
9460,33800,22838.61
34721,41999,43389.49
53488,30499,36346.938
21539,69950,46906.39
52076,9500,8132.785
40334,47950,33110.24
39540,34995,40529.473
29545,34950,56660.293
46070,31853,41287.77
46838,10500,27912.71
54063,54000,55075.258
42113,29999,65596.84
21440,11000,34675.637
21288,17500,10447.793
51962,19000,12355.387
4928,11500,27073.627
28146,28900,40020.816
23031,6750,42899.98
8683,23300,15927.433
44176,31900,38138.7
26052,52000,52511.88
45681,28000,25397.527
12375,28500,43330.984
50033,41250,45920.258
30979,29000,60420.863
9254,35500,53016.316
8042,25000,24507.03
14458,33500,21734.037
49574,3000,11212.289
33379,19500,19942.238
40778,15500,26403.842
48046,15750,23715.797
24378,35900,62490.96
24601,36000,31787.727
3790,30000,58880.332
45916,40000,71141.89
28973,45861,57030.406
34291,9000,9580.202
27986,48500,36603.84
40098,44900,31556.398
53975,34999,41009.234
48773,19950,13262.18
11828,36500,38039.527
24505,67900,66434.18
27219,9000,28913.814
12796,159500,25947.54
17965,4500,5980.3765
46366,9950,10349.741
22600,35999,28336.887
24896,64000,22564.77
49097,27000,28977.688
24779,12000,25355.535
14393,79500,47366.227
35779,15000,13193.713
11968,18950,32294.66
3047,19000,46424.684
51318,26000,35964.39
29693,15900,12228.739
38818,68000,65158.7
34231,9975,16297.701
46173,18500,20368.8
41742,50000,56322.785
34726,58000,49876.887
50363,84500,42969.24
45574,9500,6824.8
31790,41500,40646.434
23748,38000,40570.656
41482,18000,12914.216
42470,9995,15915.944
14535,72900,71811.62
37868,12500,26277.375
24465,53000,40012.92
1860,94500,83160.914
10946,22500,24100.846
34569,13800,23794.672
11096,34000,37880.71
48789,57850,44185.566
32799,82000,71747.23
14177,56000,47844.516
36822,33500,49710.945
26925,54999,18093.42
35503,33000,31374.205
43667,9000,20653.916
2853,11200,14892.732
46279,62900,69834.98
4261,81500,80023.805
12320,5999,8932.433
4925,12995,16833.154
18546,29500,60984.83
32919,46000,37883.95
28902,57500,55564.332
21561,130000,61001.88
24269,20900,23957.896
33894,43860,50072.43
25226,40999,76766.56
43191,35750,34119.832
44309,24700,31503.943
1859,22000,29400.318
32361,95000,56782.086
7790,9000,24924.117
11546,33000,32371.22
37461,15400,26961.975
28638,10000,8361.761
24184,54000,35247.344
4318,210000,33368.598
14352,24000,22766.031
16078,36000,44381.2
35801,16900,21287.793
20092,24000,49789.46
52993,9500,9198.058
32640,31300,29882.336
9440,15499,53376.836
52787,31700,42827.555
10844,133000,36539.457
37560,9500,22560.018
4610,11200,10706.3125
33440,50000,50052.965
38431,27000,52306.48
50189,57000,49895.57
49794,15000,12990.156
37541,37500,15247.161
10576,24995,28800.797
19026,17900,16985.033
25656,29000,26106.457
22680,41500,69185.36
37105,15000,23470.293
20724,57000,45796.56
51294,28500,31838.787
8034,63500,58708.54
36722,44900,37268.387
8689,65000,40504.363
25989,24950,45666.29
27764,35619,57081.004
4212,18300,34306.18
19888,244896,69947.484
6509,16500,19813.531
39948,12000,27163.703
49553,23800,15586.304
9429,18500,25207.441
2673,41000,41752.375
7543,9000,9060.608
16540,52000,43957.47
46824,33500,32746.896
43572,23000,21150.053
7874,8100,20133.299
32931,69900,66506.805
18607,11800,17448.752
40808,15500,15391.231
51383,46999,84155.16
52934,50000,32648.465
20722,55000,40097.082
12497,59000,49844.824
36448,28300,25220.377
36530,36995,48242.312
21960,47900,49753.883
942,63997,77728.52
18616,21999,81189.53
36643,9000,12893.535
16791,13450,9995.6
52792,10099,26628.807
49886,59200,20577.107
52673,50000,47215.73
35730,79950,64087.395
5089,55000,61729.008
21585,18000,9757.087
7210,36000,26067.59
18178,46500,44997.45
39703,34950,29581.775
37850,21999,13907.283
43377,18800,19282.418
52270,36800,14475.014
32052,35999,29587.893
44500,68000,84261.58
32378,19900,24843.084
2266,8999,14112.303
30493,24950,40934.445
37294,42590,41220.582
34035,9975,13465.355
44683,19750,25702.922
32615,3600,8992.683
33980,61500,69763.64
47292,21000,36133.87
1632,12500,17236.088
18084,24000,56880.383
46959,44850,51438.47
36279,19000,30476.023
26252,10000,9403.1045
40009,39750,40606.293
46312,11000,18174.072
25688,24950,29073.172
37547,28000,31199.053
41834,38000,27539.367
21099,25000,42409.93
25703,68000,65551.98
35631,21000,30444.416
39909,50000,27359.418
43527,28995,24363.258
36953,53900,68379.71
49389,39750,25487.785
10472,31650,36416.402
8884,22000,36423.996
24729,77430,84832.16
22819,11499,17615.176
36730,53000,26888.6
2795,44800,46280.625
23226,19998,26938.615
16096,26000,41143.73
53295,47645,48164.176
44165,7500,15550.934
24575,24999,64954.035
37299,13250,14413.836
8605,4995,9959.087
11348,34599,33490.33
39675,8000,17579.414
27899,9500,25664.453
32444,31000,36366.574
7641,22500,25028.01
438,31000,46574.008
2526,101000,61527.3
3115,41999,32012.225
46644,15000,14140.803
13064,55000,58010.836
7702,8900,10577.8545
27577,21900,30043.99
52456,7850,16521.322
29295,8000,12696.164
26196,26900,63624.35
1701,49900,41572.25
9716,16000,19819.227
37137,61599,34148.7
51510,51999,63863.016
26830,45000,39839.61
48435,32000,26970.354
3655,49900,38484.953
37130,42995,48056.887
32039,35800,36065.836
6578,28995,12629.299
4411,19500,16996.059
49185,49999,40060.92
5497,42995,42251.73
23240,53999,37693.117
28473,21500,24616.395
15751,75000,54737.418
32978,67999,68849.86
37484,19500,26759.998
17435,12000,24912.84
31651,117000,61122.52
46689,19500,33490.902
44245,10750,16732.305
29126,36500,51935.668
38183,39127,42720.016
23059,129000,45673.496
16587,38000,37936.344
48446,15900,17410.525
12301,67900,65445.617
13275,82500,50435.39
42917,97993,36795.49
48008,4700,51689.355
38604,17495,18928.043
38668,46900,33989.934
40,35300,24221.408
26937,20000,22593.92
46061,52590,31799.305
51739,34900,33126.508
22474,12995,27404.475
32134,12500,20184.156
36310,13000,14904.248
13997,82500,45839.285
8688,26999,32010.422
37161,42000,58866.797
48817,26000,29023.117
48442,10500,19312.088
37536,36740,7273.955
3584,34645,36797.363
23286,17900,15774.17
22011,36500,36058.86
51936,29900,24713.092
14311,99999,69095.18
39199,6900,9360.837
52111,39900,39670.61
24469,26990,27271.225
13497,75000,47195.867
10010,34000,27270.516
203,57999,49330.016
52984,11499,30003.678
25006,14950,36952.76
28123,27500,60061.18
33746,51899,52685.78
13258,38500,30527.127
4031,22450,33511.5
24315,35273,42163.258
15318,37500,28510.094
29984,87000,80834.555
14409,17390,53229.375
34088,23450,29416.125
216,26800,26376.098
28609,14500,9815.213
19766,22000,34301.79
41066,6950,12282.466
5318,33900,37294.1
36406,39990,54815.48
51888,27950,47831.715
15215,12500,14168.1
15726,24850,32708.848
36146,85500,53843.734
16216,42999,49890.332
16958,33172,45944.3
47759,50500,69214.29
45210,9995,24557.645
41238,76500,43547.676
29503,9950,11698.878
8289,29000,33932.836
52693,6800,8725.853
34501,136900,84073.36
10161,49950,43242.855
48945,69500,57609.906
33423,16000,10510.225
35331,63900,73547.64
11668,71999,60837.953
36184,38900,44883.36
5211,47500,59413.656
10634,21500,42832.7
25475,26000,39106.418
27042,49900,55783.21
3513,23750,34862.594
486,6999,14434.3545
13514,24700,19366.828
25337,11500,23481.332
28178,36800,44737.71
38885,36000,35026.41
25042,28000,19100.91
37075,22500,24872.182
2238,12750,12203.214
7385,10600,16858.525
12313,134900,70763.984
439,28324,40389.51
47162,11500,12932.487
20034,26485,27300.875
20534,50000,57712.47
21638,43642,43826.266
23210,9999,22700.814
28966,62500,46468.93
14558,8300,12484.61
49106,63500,58188.434
12220,14500,19911.852
11276,12850,21374.756
37616,27899,24872.182
38252,30000,50033.664
24530,32250,61672.395
25250,46500,33506.508
37197,47500,15204.355
48387,14000,11248.332
24803,14995,19060.205
23888,42999,40002.91
30439,42000,30077.64
52796,35645,61266.64
45377,18900,25407.762
48641,12850,7856.653
36806,38000,46776.82
49289,28900,36127.984
34028,12500,29370.238
29990,17100,55236.234
19879,70000,54250.324
46616,37500,55395.76
5400,23400,25404.754
51088,162500,80493.414
37126,95000,63059.12
51931,77900,83938.52
2968,45999,27559.316
50915,21000,19401.447
52408,15500,8115.0347
15364,33885,29325.064
39849,69900,77276.2
39435,76000,61684.16
48560,3990,25214.31
14222,29000,45372.484
9685,63900,85414.664
11930,3990,14210.751
39221,53000,56005.61
29515,23000,47060.316
10037,217950,109861.58
34495,33200,39984.676
26036,17000,12756.836
18507,17000,21949.23
9839,30500,36370.54
34041,20470,31149.012
25358,9500,13636.174
6821,65000,76069.57
8385,29999,12422.91
39306,9995,11925.018
50351,32900,43883.07
1212,42433,43124.05
29564,12995,8833.42
6501,27899,45065.38
37095,46900,66669.31
9561,18750,7843.1924
10459,51000,41468.95
3929,28500,47547.902
17804,18000,30412.715
11789,46000,51093.95
38900,57500,58413.65
21272,13000,27188.203
23601,4999,22237.527
51843,3990,17785.15
5676,37000,31469.158
12844,44800,46863.95
53927,15397,14091.901
30025,47000,68076.85
8632,23000,22266.48
35684,9499,12035.679
12528,27000,31026.096
36375,35500,49334.438
12253,12500,15176.877
53739,25650,28721.484
41464,36000,26151.24
47722,41500,59670.56
19665,34000,44581.242
30398,80900,36455.395
30978,4995,7118.68
26782,23000,29597.658
33740,8500,42685.324
33890,11500,25738.383
14073,39500,49563.6
49456,72900,73068.05
5440,7500,15419.658
32690,12900,20457.02
7066,32500,44116.52
41315,48815,63216.445
3347,72000,69241.68
38627,27000,32455.436
803,8500,12802.214
41599,68000,29281.03
33455,49999,62074.805
11664,120990,45051.133
41283,2500,15587.036
20978,6500,10708.056
7817,39000,46332.508
17566,59950,56173.348
21803,38490,57109.293
53866,34645,38953.81
53730,15900,28497.23
28968,12700,14544.098
10945,36727,55882.055
28262,64683,65559.62
40362,27500,33579.164
38998,26000,35715.81
23956,15500,32327.422
33339,22500,10769.329
5895,28895,33975.11
390,12000,14581.2295
43036,33172,53524.05
3580,159500,51551.637
6588,17500,17195.863
49959,26990,71713.22
46625,21500,18119.178
31747,68000,30589.238
14960,35000,44849.414
13004,119999,45830.05
49852,6250,8022.6826
27760,32500,67691.65
867,29999,39243.242
12187,43000,67735.586
37285,16500,13146.015
8449,58504,68703.22
22183,35000,34133.945
37578,43000,66276.06
19939,51800,61728.203
2894,18700,42615.176
37526,11995,12456.005
11310,20999,47800.48
16206,60000,77621.484
45569,37999,54086.17
22368,18000,28280.336
40359,16000,18375.082
13888,16995,22187.71
24313,25500,25145.855
53221,23000,25298.262
39999,34084,25737.234
33873,22500,28488.701
7363,36500,29116.803
18092,43000,37176.08
30792,23500,23371.857
4038,68000,58307.445
50421,34000,37016.324
41162,63000,51697.906
32448,4000,12930.215
31062,19000,15181.619
50069,29950,20294.117
2644,19500,12697.468
8553,38000,44196.477
42289,26500,23882.318
41754,7300,11926.92
16635,84645,77523.8
8640,76000,81338.03
33897,43860,49613.16
28844,8500,10531.353
44195,20990,26702.928
14772,20900,23364.543
1839,36000,31260.357
43588,29900,25950.402
49102,179000,67910.38
23791,80000,68480.74
32250,32471,31652.373
30184,17500,13090.857
4528,15000,11207.251
45370,12000,17799.863
28284,6999,10461.958
29964,18999,12551.731
33336,37999,34181.395
39818,33500,38180.94
35242,7900,20534.043
47903,22000,27964.059
14767,20900,34819.227
45324,21000,21661.205
52983,30000,67365.07
17568,10000,11006.183
11561,40000,43547.676
35844,51000,34230.32
32830,42816,46239.94
12062,9900,9175.218
49427,29900,65136.59
50285,27000,38050.297
19708,48500,33943.695
32025,9500,10253.631
19509,12500,15451.013
25184,8995,39092.465
51165,11250,22598.535
51949,19000,22079.492
15354,69000,53326.28
29262,57999,42141.477
49258,17000,28467.277
35294,115000,51267.484
6708,43500,36371.516
22847,15500,30520.717
32735,29999,37665.406
25574,159500,71405.78
7135,15000,19373.96
26674,44249,42116.094
30050,19800,29752.639
42028,21900,28587.48
34460,31871,33568.113
12382,6000,10841.525
5495,4399,12731.734
17589,34000,40770.176
24771,5499,9959.087
11319,8500,12316.548
25469,29950,36651.58
12536,162950,61390.258
42251,24000,25376.93
18726,48000,49488.05
29698,29800,42186.027
36976,12000,7771.9863
32475,34500,36419.227
51958,20995,29792.441
50540,13999,11716.822
47488,4500,14054.381
16766,165000,68718.16
41420,33499,12126.897
33974,18000,24538.22
33733,80300,28896.6
31946,39244,59017.375
3201,9400,9527.568
18584,52000,69485.41
14903,23800,32625.281
51004,21500,31904.586
54252,26500,27341.316
21420,56900,51711.996
39403,27500,25307.96
42636,45000,38972.87
42698,53900,59100.168
13298,54999,53987.332
11757,31000,41010.46
41305,38000,19445.104
50420,19000,24962.566
5986,55000,34148.727
34749,19000,36979.242
33955,47500,62914.6
35118,18987,45232.723
15147,6950,10010.48
11934,32000,47837.098
43591,18000,33154.473
25300,21500,22322.773
4873,38500,39377.055
9637,45000,43762.688
11384,53499,52237.75
50898,12000,22007.893
8185,12000,15200.125
26154,44800,30065.475
30814,44000,44762.992
7171,13500,17518.521
11099,42691,41419.234
28201,42599,54538.18
35647,7500,13096.391
17604,41900,77294.66
41970,36000,39621.746
42978,30599,43907.36
7096,54000,71608.14
22731,13000,22550.06
39677,82150,46611.594
13809,24995,37745.918
2247,29000,32796.363
2984,4200,10980.639
42958,9250,13127.875
33361,57999,60852.875
42429,32500,37095.2
51323,37500,46253.293
37425,9995,18735.998
33929,6348,15326.589
12503,43000,26617.54
30380,46900,50591.984
49513,15500,13912.005
2539,29748,31948.34
6119,77999,60837.98
34925,36500,44724.34
52976,71000,32010.592
25396,40999,35474.367
46051,17550,22918.832
30371,78000,70280.555
20850,54900,58141.04
3272,57900,81377.74
44560,29500,36506.156
23834,28000,31116.73
29576,27500,60220.402
41058,41599,58537.098
37714,83999,59181.562
15098,17500,23765.117
49987,34000,37417.86
30922,49000,45640.727
22446,7850,8477.361
36718,6950,23406.951
20224,19000,13070.8955
38631,43000,40097.082
43376,12500,20075.463
186,21500,24632.744
7469,54000,48145.28
4128,30000,39216.08
33442,48990,40143.316
4349,15500,17723.488
41023,46552,45441.84
50001,10300,8731.803
7068,13995,20774.652
16443,49500,21329.697
26951,48000,51742.61
18841,5900,11165.972
518,51900,66224.33
44084,20999,17661.117
20515,36000,43409.09
50844,27500,40078.613
8635,77500,57718.355
5146,24500,24984.164
6387,10900,12034.3
49277,8300,21251.89
3507,31000,40270.773
1949,12000,17335.207
53031,18500,23612.84
3104,75000,66345.055
28454,30000,27495.367
31653,10000,12259.583
39281,41899,50082.406
39138,55999,48026.855
12231,30000,58930.895
51572,27518,44950.777
14113,26000,62830.008
30611,39000,25487.785
49357,26500,66098.52
10880,29000,28940.793
9160,10500,7955.337
6917,8900,9367.975
51130,6500,20916.453
9367,30000,12604.476
30595,21500,33700.72
23193,7500,10030.745
21657,5750,11498.574
46932,22500,21807.28
30560,25500,35141.09
29635,99750,72500.68
40825,30890,20516.193
10860,39000,30582.988
14065,12500,18627.752
52911,35500,61766.105
41331,28000,48491.227
6970,4500,10918.42
31071,44850,51431.285
9168,25000,33893.695
12319,65688,54311.39
49210,18000,18724.514
6174,19500,10389.652
32898,9500,11638.962
7137,5500,7274.207
7670,47995,40434.695
9689,29900,37222.8
9957,33800,32273.703
41886,71999,41572.03
28481,8500,14054.577
42418,32999,48921.645
12793,7500,11587.769
45838,7100,23827.123
47986,15000,10580.093
40364,14900,20965.398
48785,17800,74983.125
12867,17500,36705.01
47446,15495,23946.26
20537,12999,12145.354
31288,35645,38112.16
51013,28500,34272.723
23514,149000,61233.45
6322,56000,77416.22
20262,34000,35228.3
19289,15000,32026.02
14050,38005,54682.37
22728,41500,69979.586
26613,44000,42827.555
29012,3000,11815.286
20212,20000,19222.44
2925,53999,61134.043
25272,19500,19051.787
11005,47500,41674.406
46047,33900,46643.81
47947,44000,50649.812
18540,16000,11266.717
33665,53500,32653.291
46774,20997,13139.034
16341,18900,21170.688
36969,14000,11049.832
9049,63000,58609.69
2354,41999,37130.977
36692,21000,33383.45
48528,22000,40070.0
43557,144900,79634.555
2026,37000,43225.715
3074,44500,28871.76
30367,59000,49563.105
44879,29000,38251.844
47401,18900,13990.506
8261,124900,64324.293
43897,10900,14201.296
26626,75950,52128.855
50460,49999,68250.914
36437,13800,14313.894
24571,52500,30896.139
45422,33800,15440.265
23372,44999,61526.38
33355,37500,44071.977
25754,47500,62914.6
18559,51900,48638.37
45575,12500,12587.922
9305,14000,25643.066
49101,21373,34459.074
46317,48900,46486.727
394,47500,53418.38
46099,45000,65737.72
53928,42900,61757.797
53321,31000,35232.42
13313,6099,13810.804
6863,35470,45652.883
7205,49500,47642.863
23521,37500,48674.562
50044,13500,13260.467
45939,24500,9946.381
5346,45855,31209.672
52720,27500,23151.031
40395,18000,34609.89
25927,47850,52731.297
8681,13000,17522.107
49493,48000,44396.535
16348,37900,57851.03
28415,15000,19458.34
7941,17900,37473.133
30316,68500,64350.89
41593,39900,52118.715
16575,89000,67150.04
12971,31000,26433.67
25467,99950,58028.652
37110,44000,71734.94
11513,44400,53465.664
33320,33000,47314.887
15082,29950,24550.371
44129,7945,11332.428
26127,30000,41598.81
24976,17000,17598.934
33677,28999,49683.367
23646,15900,25000.305
23635,47000,71156.14
47961,5900,44464.617
40870,10500,11868.326
50578,129000,64087.395
32639,65000,32062.053
48565,28500,21769.66
16551,19900,17318.975
19892,11000,10451.235
33575,49000,46360.273
48133,29950,23863.32
28750,19500,30335.912
10216,17000,16174.837
30358,134999,42586.52
3250,21500,31279.834
19303,24950,41608.246
31882,51500,55742.99
4632,35000,33393.06
24214,22495,40385.285
17967,29800,26985.37
24851,41688,38016.48
30084,7200,12514.693
51829,12900,13048.648
29853,34000,23520.408
1150,35300,40801.47
31867,12500,8186.6523
44329,28495,69555.055
51477,6450,9325.661
14564,62499,76069.57
39919,24500,28871.15
1517,35999,48871.23
50082,18000,12142.055
17722,175000,66492.96
30576,27900,31863.926
41408,14900,20458.617
45716,11500,24618.723
9250,26500,23588.55
42874,38000,35342.848
15803,27000,28573.584
16488,23000,36224.332
20166,36999,71531.43
25477,19995,28812.771
1782,20000,30597.477
27152,15000,10615.309
35919,15900,25939.08
23017,73500,40485.97
52437,15000,20097.303
8893,45000,66097.94
19667,13500,9770.611
15780,32000,56824.934
38708,21500,13254.93
23772,31000,26812.434
28010,14990,8857.527
12872,179900,75913.09
2658,85000,69092.37
3789,23999,25320.818
9148,89000,76261.586
26043,7000,13899.413
28457,45000,50431.176
37091,46105,66365.18
1428,24850,21656.92
30409,41000,45763.53
16432,45999,44048.74
31966,68000,65322.996
31227,43449,54906.36
34096,18000,13040.058
43801,15500,7075.6514
18255,4995,10000.355
32777,15750,15546.304
53934,32000,40326.203
36956,8800,12629.299
44570,89000,63519.547
53164,6099,25372.309
39858,29800,25388.291
5450,22995,43370.5
44082,16488,31563.05
52289,38500,70063.25
49743,29995,32983.81
23106,25307,21198.188
13718,76000,60988.336
24832,150000,47886.062
26517,57619,120947.57
50913,79950,61212.812
12260,14000,20512.469
31463,44000,63782.48
34567,7850,22379.11
30932,50658,45232.723
51379,24999,27537.102
9252,24998,32635.705
45660,26000,36259.336
43143,27500,26145.945
23113,27500,23822.375
33504,8500,7769.5723
31895,66500,76261.586
10540,16000,30958.004
11327,47500,56188.312
38002,43860,55322.41
1084,29900,66711.336
26268,21500,27846.924
34971,44800,11351.153
40932,5899,30647.303
50853,119500,62865.93
42591,37000,61626.504
20242,65000,32603.736
24305,42500,30147.986
9590,18650,33125.145
26857,34000,45803.66
1207,69000,37473.723
4233,25900,23294.406
8586,6500,7676.7734
26483,16500,20282.045
41084,24000,13923.195
44501,44870,36468.85
9825,35470,36274.867
14951,52900,49665.64
10053,71900,48815.55
43288,15000,19425.85
41200,51900,65380.582
12891,165000,69818.57
40393,52000,53304.758
5774,73300,85489.27
50641,31000,22820.434
14369,41999,72345.1
2580,250000,44280.83
35904,38900,46256.85
34791,57000,70960.375
5155,29645,46296.555
29932,15995,27764.9
40861,6000,14112.303
43493,27700,31375.227
5657,15000,29143.557
34613,51999,54419.707
17737,21990,34404.8
40425,51900,48429.035
9978,15500,22331.748
35377,9995,29456.809
13845,144664,79699.81
41780,56740,42497.688
16208,24000,13581.147
44206,53000,53431.133
23913,25800,40083.867
2960,45000,32920.215
30318,73995,67947.96
12071,39000,77516.83
9206,29444,18253.871
28227,15000,41426.9
42085,30500,31145.072
6911,4100,12533.645
14085,25500,24174.588
48609,41500,34503.816
48464,12975,15300.731
16015,24000,22210.6
21011,10995,24849.025
49977,66500,80932.836
31237,11000,25268.086
150,15000,25677.543
1647,18900,14222.989
9778,27785,38621.492
32780,88950,76037.43
19213,37500,32289.793
20101,29748,40901.953
37102,6500,12263.943
51251,42000,48821.83
17907,16999,12152.895
15264,52999,51667.773
5821,45999,65597.37
5888,39985,22863.297
9128,42950,33194.938
47923,12000,15865.352
52343,28700,47210.5
5292,234000,43302.125
29803,19995,20107.402
32548,18000,29716.963
10406,40000,48484.344
13351,29900,24555.043
5096,35500,50243.76
52052,32500,39407.266
10678,54500,47127.125
7110,128995,78805.164
12685,38200,46470.6
54071,12990,11277.82
41460,4900,25267.314
6650,21500,29122.156
40463,36000,49041.934
30653,17900,8914.17
49340,7850,21506.666
12212,24500,45563.582
9181,54500,79934.59
43564,4199,13099.517
33153,27000,33819.58
25195,22500,19735.76
6879,4000,9738.589
5499,21900,33170.316
47536,8200,13340.375
1356,82000,54815.547
38836,33500,43548.797
9008,13998,10256.648
49320,33500,28756.143
25459,17500,15169.753
32529,9950,13837.913
31600,29725,40236.97
45238,27000,41648.27
37265,24000,25945.658
50158,39777,33056.465
33482,20000,20168.945
7452,8500,8328.854
4412,13998,20479.092
50659,31950,37719.03
23882,67500,51387.85
33217,16000,21380.28
46601,45899,47433.45
34227,17500,15667.43
33728,28500,39247.37
15424,115000,69174.46
42094,26999,45529.32
3898,15000,23445.766
19757,156900,80012.336
16167,49700,42916.87
32482,20000,26242.049
34949,38436,45490.59
20930,47000,70074.016
33412,23500,16486.678
42855,3900,15260.446
16568,79950,79910.8
12830,35707,33755.273
27616,44850,41587.11
43464,14900,12571.1875
26761,12980,12045.736
4053,12500,38661.01
5980,32999,59057.184
11498,25500,20813.576
15008,37900,38597.758
48088,17599,22780.271
3117,12500,10173.441
16904,35000,30023.867
19863,31000,36871.973
48140,12468,14112.303
34757,44000,61039.062
41836,19900,21274.713
9763,45770,40864.047
14739,4200,22336.084
11386,42000,48754.21
51534,65999,71652.516
26767,27000,26403.996
14273,21990,19795.996
40756,34950,41706.594
32109,18000,19667.209
24183,32000,30816.203
10896,13500,21432.463
3070,16500,21554.02
1060,23500,27112.152
6268,43000,47226.348
26064,6500,13340.375
24700,76400,77294.66
35309,33950,25326.553
30958,19500,28694.408
41019,22000,40415.316
42877,22500,42795.273
20175,36000,26970.57
679,18500,26608.633
26765,5499,11245.8125
1677,53000,36412.047
45790,34000,36956.344
5773,46500,55198.938
45922,15500,21142.367
12635,59000,38067.094
39366,15400,28878.889
13832,6500,42780.434
29373,21500,18557.484
4691,7500,9630.559
33026,25500,37041.62
44740,18955,53461.777
25738,52000,62284.523
5972,15000,16882.568
9295,23000,23593.787
40800,55000,48553.7
53196,81000,60442.613
15137,10000,11700.501
28789,31755,31816.836
19811,10795,30651.074
41453,5100,10057.344
28681,24000,26917.041
8507,7999,17497.633
33871,26900,32920.27
9130,39900,40280.293
36580,38500,44066.57
40301,24500,25546.178
